,wallTime,dtstamp,step,training_loss_step,epoch
0,1638178996,2021.11.29-09.40,49,2.6096053,800.0
1,1638179116,2021.11.29-09.40,99,2.8172016,801.0
2,1638179223,2021.11.29-09.40,149,2.8778827,801.0
3,1638179336,2021.11.29-09.40,199,2.8470185,802.0
4,1638179467,2021.11.29-09.40,249,2.5231383,803.0
5,1638179571,2021.11.29-09.40,299,2.6927733,803.0
6,1638179695,2021.11.29-09.40,349,2.8200657,804.0
7,1638179796,2021.11.29-09.40,399,2.7438574,804.0
8,1638179914,2021.11.29-09.40,449,2.722009,805.0
9,1638180041,2021.11.29-09.40,499,2.917615,806.0
10,1638180144,2021.11.29-09.40,549,2.5952828,806.0
11,1638180259,2021.11.29-09.40,599,2.8837428,807.0
12,1638180388,2021.11.29-09.40,649,2.7912822,808.0
13,1638180491,2021.11.29-09.40,699,2.745978,808.0
14,1638180607,2021.11.29-09.40,749,2.5336668,809.0
15,1638180714,2021.11.29-09.40,799,2.8048382,809.0
16,1638180831,2021.11.29-09.40,849,2.7054477,810.0
17,1638180956,2021.11.29-09.40,899,2.7375495,811.0
18,1638181056,2021.11.29-09.40,949,2.9337835,811.0
19,1638181175,2021.11.29-09.40,999,2.7134786,812.0
20,1638181279,2021.11.29-09.40,1049,3.0445902,812.0
21,1638181397,2021.11.29-09.40,1099,2.575385,813.0
22,1638181522,2021.11.29-09.40,1149,2.9052825,814.0
23,1638181628,2021.11.29-09.40,1199,2.9231017,814.0
24,1638181741,2021.11.29-09.40,1249,2.854005,815.0
25,1638181868,2021.11.29-09.40,1299,2.5656426,816.0
26,1638181970,2021.11.29-09.40,1349,2.7114465,816.0
27,1638182091,2021.11.29-09.40,1399,2.6300693,817.0
28,1638182197,2021.11.29-09.40,1449,2.6146536,817.0
29,1638182316,2021.11.29-09.40,1499,2.8993645,818.0
30,1638182442,2021.11.29-09.40,1549,2.8818016,819.0
31,1638182548,2021.11.29-09.40,1599,2.541893,819.0
32,1638182667,2021.11.29-09.40,1649,2.4889605,820.0
33,1638182773,2021.11.29-09.40,1699,2.5912645,820.0
34,1638182889,2021.11.29-09.40,1749,2.6823795,821.0
35,1638183016,2021.11.29-09.40,1799,2.543875,822.0
36,1638183123,2021.11.29-09.40,1849,2.6786215,822.0
37,1638183237,2021.11.29-09.40,1899,2.6316185,823.0
38,1638183362,2021.11.29-09.40,1949,2.6189225,824.0
39,1638183461,2021.11.29-09.40,1999,2.9144254,824.0
40,1638183579,2021.11.29-09.40,2049,2.7148006,825.0
41,1638183679,2021.11.29-09.40,2099,2.770887,825.0
42,1638183795,2021.11.29-09.40,2149,2.526454,826.0
43,1638183919,2021.11.29-09.40,2199,2.7778685,827.0
44,1638184019,2021.11.29-09.40,2249,2.4351423,827.0
45,1638184132,2021.11.29-09.40,2299,2.8036506,828.0
46,1638184256,2021.11.29-09.40,2349,2.5860884,829.0
47,1638184356,2021.11.29-09.40,2399,2.721791,829.0
48,1638184472,2021.11.29-09.40,2449,2.872551,830.0
49,1638184576,2021.11.29-09.40,2499,2.7989528,830.0
50,1638184689,2021.11.29-09.40,2549,2.7084446,831.0
51,1638184818,2021.11.29-09.40,2599,2.74907,832.0
52,1638184919,2021.11.29-09.40,2649,2.7834737,832.0
53,1638185036,2021.11.29-09.40,2699,2.8648407,833.0
54,1638185140,2021.11.29-09.40,2749,2.7368364,833.0
55,1638185256,2021.11.29-09.40,2799,2.3797977,834.0
56,1638185380,2021.11.29-09.40,2849,2.7040744,835.0
57,1638185481,2021.11.29-09.40,2899,2.9525054,835.0
58,1638185600,2021.11.29-09.40,2949,2.3952816,836.0
59,1638185721,2021.11.29-09.40,2999,2.8497894,837.0
60,1638185824,2021.11.29-09.40,3049,2.5897322,837.0
61,1638185943,2021.11.29-09.40,3099,2.8505883,838.0
62,1638186047,2021.11.29-09.40,3149,2.8337045,838.0
63,1638186162,2021.11.29-09.40,3199,2.404459,839.0
64,1638186287,2021.11.29-09.40,3249,2.7457986,840.0
65,1638186389,2021.11.29-09.40,3299,2.832162,840.0
66,1638186507,2021.11.29-09.40,3349,2.8730748,841.0
67,1638186608,2021.11.29-09.40,3399,2.7355943,841.0
68,1638186725,2021.11.29-09.40,3449,2.7373304,842.0
69,1638186847,2021.11.29-09.40,3499,2.7737148,843.0
70,1638186956,2021.11.29-09.40,3549,2.7122948,843.0
71,1638187069,2021.11.29-09.40,3599,2.7542107,844.0
72,1638187198,2021.11.29-09.40,3649,2.7836885,845.0
73,1638187300,2021.11.29-09.40,3699,2.8225906,845.0
74,1638187414,2021.11.29-09.40,3749,2.8060596,846.0
75,1638187514,2021.11.29-09.40,3799,2.5565648,846.0
76,1638187629,2021.11.29-09.40,3849,2.811494,847.0
77,1638187752,2021.11.29-09.40,3899,2.6986585,848.0
78,1638187854,2021.11.29-09.40,3949,2.6460278,848.0
79,1638187973,2021.11.29-09.40,3999,2.5631816,849.0
80,1638188078,2021.11.29-09.40,4049,3.2477372,849.0
81,1638188078,2021.11.29-09.40,4049,3.2477372,849.0
82,1638188206,2021.11.29-09.40,4099,2.6921158,850.0
83,1638188322,2021.11.29-09.40,4149,2.5644891,851.0
84,1638188429,2021.11.29-09.40,4199,2.7126207,851.0
85,1638188543,2021.11.29-09.40,4249,2.7889178,852.0
86,1638188671,2021.11.29-09.40,4299,2.7141838,853.0
87,1638188773,2021.11.29-09.40,4349,2.5806763,853.0
88,1638188891,2021.11.29-09.40,4399,2.5802283,854.0
89,1638188999,2021.11.29-09.40,4449,3.06218,854.0
90,1638189115,2021.11.29-09.40,4499,2.6525514,855.0
91,1638189242,2021.11.29-09.40,4549,2.7949426,856.0
92,1638189343,2021.11.29-09.40,4599,2.8725095,856.0
93,1638189461,2021.11.29-09.40,4649,2.69684,857.0
94,1638189583,2021.11.29-09.40,4699,2.5893743,858.0
95,1638189684,2021.11.29-09.40,4749,2.7284386,858.0
96,1638189798,2021.11.29-09.40,4799,2.5715778,859.0
97,1638189908,2021.11.29-09.40,4849,2.9543662,859.0
98,1638190024,2021.11.29-09.40,4899,2.5615978,860.0
99,1638190147,2021.11.29-09.40,4949,2.7210975,861.0
100,1638190250,2021.11.29-09.40,4999,2.7941408,861.0
101,1638190368,2021.11.29-09.40,5049,2.80336,862.0
102,1638190471,2021.11.29-09.40,5099,2.6597767,862.0
103,1638190586,2021.11.29-09.40,5149,2.8089948,863.0
104,1638190713,2021.11.29-09.40,5199,2.8286767,864.0
105,1638190820,2021.11.29-09.40,5249,2.8678877,864.0
106,1638190933,2021.11.29-09.40,5299,2.8211534,865.0
107,1638191062,2021.11.29-09.40,5349,2.6421223,866.0
108,1638191168,2021.11.29-09.40,5399,2.531569,866.0
109,1638191283,2021.11.29-09.40,5449,2.6886532,867.0
110,1638191390,2021.11.29-09.40,5499,2.6321325,867.0
111,1638191508,2021.11.29-09.40,5549,2.915045,868.0
112,1638191633,2021.11.29-09.40,5599,2.5888631,869.0
113,1638191737,2021.11.29-09.40,5649,2.551513,869.0
114,1638191855,2021.11.29-09.40,5699,2.6351328,870.0
115,1638191959,2021.11.29-09.40,5749,2.640566,870.0
116,1638192076,2021.11.29-09.40,5799,2.562493,871.0
117,1638192202,2021.11.29-09.40,5849,2.5162807,872.0
118,1638192311,2021.11.29-09.40,5899,2.760784,872.0
119,1638192427,2021.11.29-09.40,5949,2.7771642,873.0
120,1638192552,2021.11.29-09.40,5999,2.7019815,874.0
121,1638192657,2021.11.29-09.40,6049,2.7473714,874.0
122,1638192774,2021.11.29-09.40,6099,2.6813526,875.0
123,1638192880,2021.11.29-09.40,6149,2.6741922,875.0
124,1638192996,2021.11.29-09.40,6199,2.6674488,876.0
125,1638193124,2021.11.29-09.40,6249,2.3825388,877.0
126,1638193227,2021.11.29-09.40,6299,2.5490885,877.0
127,1638193342,2021.11.29-09.40,6349,2.8309152,878.0
128,1638193466,2021.11.29-09.40,6399,2.6849759,879.0
129,1638193565,2021.11.29-09.40,6449,2.8588316,879.0
130,1638193683,2021.11.29-09.40,6499,2.5973766,880.0
131,1638193790,2021.11.29-09.40,6549,3.028629,880.0
132,1638193903,2021.11.29-09.40,6599,2.7952492,881.0
133,1638194032,2021.11.29-09.40,6649,3.1303453,882.0
134,1638194134,2021.11.29-09.40,6699,2.6119988,882.0
135,1638194253,2021.11.29-09.40,6749,2.8093443,883.0
136,1638194356,2021.11.29-09.40,6799,2.8461459,883.0
137,1638194473,2021.11.29-09.40,6849,2.6801221,884.0
138,1638194598,2021.11.29-09.40,6899,2.5960236,885.0
139,1638194703,2021.11.29-09.40,6949,2.9709826,885.0
140,1638194822,2021.11.29-09.40,6999,2.4773703,886.0
141,1638194948,2021.11.29-09.40,7049,2.8929515,887.0
142,1638195050,2021.11.29-09.40,7099,2.7746174,887.0
143,1638195170,2021.11.29-09.40,7149,2.6236439,888.0
144,1638195276,2021.11.29-09.40,7199,2.7227073,888.0
145,1638195391,2021.11.29-09.40,7249,2.4159832,889.0
146,1638195520,2021.11.29-09.40,7299,3.0190392,890.0
147,1638195620,2021.11.29-09.40,7349,2.6675062,890.0
148,1638195738,2021.11.29-09.40,7399,2.4504466,891.0
149,1638195844,2021.11.29-09.40,7449,2.6017969,891.0
150,1638195961,2021.11.29-09.40,7499,2.7015872,892.0
151,1638196087,2021.11.29-09.40,7549,2.7225287,893.0
152,1638196196,2021.11.29-09.40,7599,2.6159573,893.0
153,1638196311,2021.11.29-09.40,7649,2.7566273,894.0
154,1638196438,2021.11.29-09.40,7699,2.7690709,895.0
155,1638196542,2021.11.29-09.40,7749,2.7227812,895.0
156,1638196659,2021.11.29-09.40,7799,2.5658855,896.0
157,1638196765,2021.11.29-09.40,7849,2.3917077,896.0
158,1638196880,2021.11.29-09.40,7899,2.7263842,897.0
159,1638197005,2021.11.29-09.40,7949,2.6569505,898.0
160,1638197111,2021.11.29-09.40,7999,2.683019,898.0
161,1638197227,2021.11.29-09.40,8049,2.4427857,899.0
162,1638197332,2021.11.29-09.40,8099,3.0180914,899.0
163,1638197332,2021.11.29-09.40,8099,3.0180914,899.0
164,1638197460,2021.11.29-09.40,8149,2.6903434,900.0
165,1638197579,2021.11.29-09.40,8199,2.5952973,901.0
166,1638197683,2021.11.29-09.40,8249,2.7067993,901.0
167,1638197799,2021.11.29-09.40,8299,2.8507056,902.0
168,1638197923,2021.11.29-09.40,8349,2.770107,903.0
169,1638198028,2021.11.29-09.40,8399,2.6565735,903.0
170,1638198147,2021.11.29-09.40,8449,2.7419903,904.0
171,1638198255,2021.11.29-09.40,8499,2.886641,904.0
172,1638198370,2021.11.29-09.40,8549,2.7614074,905.0
173,1638198496,2021.11.29-09.40,8599,2.9135337,906.0
174,1638198600,2021.11.29-09.40,8649,2.5190752,906.0
175,1638198718,2021.11.29-09.40,8699,2.829706,907.0
176,1638198840,2021.11.29-09.40,8749,2.4741602,908.0
177,1638198942,2021.11.29-09.40,8799,2.7984877,908.0
178,1638199060,2021.11.29-09.40,8849,2.626807,909.0
179,1638199168,2021.11.29-09.40,8899,2.8970718,909.0
180,1638199284,2021.11.29-09.40,8949,2.5946474,910.0
181,1638199409,2021.11.29-09.40,8999,2.7145104,911.0
182,1638199511,2021.11.29-09.40,9049,2.7177784,911.0
183,1638199631,2021.11.29-09.40,9099,2.4259295,912.0
184,1638199736,2021.11.29-09.40,9149,2.4120939,912.0
185,1638199852,2021.11.29-09.40,9199,2.6222067,913.0
186,1638199979,2021.11.29-09.40,9249,2.890674,914.0
187,1638200086,2021.11.29-09.40,9299,2.8525138,914.0
188,1638200199,2021.11.29-09.40,9349,2.531253,915.0
189,1638200323,2021.11.29-09.40,9399,2.6319008,916.0
190,1638200427,2021.11.29-09.40,9449,2.7389174,916.0
191,1638200547,2021.11.29-09.40,9499,2.5923457,917.0
192,1638200649,2021.11.29-09.40,9549,2.7127109,917.0
193,1638200766,2021.11.29-09.40,9599,2.905168,918.0
194,1638200893,2021.11.29-09.40,9649,2.8478487,919.0
195,1638200998,2021.11.29-09.40,9699,2.5553703,919.0
196,1638201114,2021.11.29-09.40,9749,2.6319911,920.0
197,1638201220,2021.11.29-09.40,9799,2.6381834,920.0
198,1638201337,2021.11.29-09.40,9849,2.6506715,921.0
199,1638201464,2021.11.29-09.40,9899,2.6697555,922.0
200,1638201573,2021.11.29-09.40,9949,2.691758,922.0
201,1638201687,2021.11.29-09.40,9999,2.7141685,923.0
202,1638201816,2021.11.29-09.40,10049,2.598671,924.0
203,1638201920,2021.11.29-09.40,10099,2.5057383,924.0
204,1638202037,2021.11.29-09.40,10149,2.772174,925.0
205,1638202144,2021.11.29-09.40,10199,2.852495,925.0
206,1638202259,2021.11.29-09.40,10249,2.7109542,926.0
207,1638202386,2021.11.29-09.40,10299,2.6209502,927.0
208,1638202488,2021.11.29-09.40,10349,2.6940916,927.0
209,1638202605,2021.11.29-09.40,10399,2.7996612,928.0
210,1638202733,2021.11.29-09.40,10449,2.6998792,929.0
211,1638202832,2021.11.29-09.40,10499,2.751703,929.0
212,1638202951,2021.11.29-09.40,10549,2.6504102,930.0
213,1638203055,2021.11.29-09.40,10599,2.621804,930.0
214,1638203170,2021.11.29-09.40,10649,2.693957,931.0
215,1638203294,2021.11.29-09.40,10699,3.049571,932.0
216,1638203399,2021.11.29-09.40,10749,2.8060741,932.0
217,1638203516,2021.11.29-09.40,10799,2.6134913,933.0
218,1638203620,2021.11.29-09.40,10849,2.706658,933.0
219,1638203737,2021.11.29-09.40,10899,2.6799257,934.0
220,1638203863,2021.11.29-09.40,10949,2.7831674,935.0
221,1638203966,2021.11.29-09.40,10999,2.7501857,935.0
222,1638204085,2021.11.29-09.40,11049,2.6141639,936.0
223,1638204213,2021.11.29-09.40,11099,2.7431467,937.0
224,1638204316,2021.11.29-09.40,11149,2.7368119,937.0
225,1638204433,2021.11.29-09.40,11199,2.9048455,938.0
226,1638204542,2021.11.29-09.40,11249,2.9402816,938.0
227,1638204654,2021.11.29-09.40,11299,2.4238873,939.0
228,1638204784,2021.11.29-09.40,11349,2.9057786,940.0
229,1638204888,2021.11.29-09.40,11399,2.5233893,940.0
230,1638205006,2021.11.29-09.40,11449,2.7355242,941.0
231,1638205106,2021.11.29-09.40,11499,2.883882,941.0
232,1638205223,2021.11.29-09.40,11549,2.7989855,942.0
233,1638205350,2021.11.29-09.40,11599,2.6780078,943.0
234,1638205457,2021.11.29-09.40,11649,2.6306794,943.0
235,1638205573,2021.11.29-09.40,11699,2.5609798,944.0
236,1638205696,2021.11.29-09.40,11749,2.8641522,945.0
237,1638205802,2021.11.29-09.40,11799,2.5911655,945.0
238,1638205916,2021.11.29-09.40,11849,2.621672,946.0
239,1638206020,2021.11.29-09.40,11899,2.6949952,946.0
240,1638206139,2021.11.29-09.40,11949,2.764075,947.0
241,1638206261,2021.11.29-09.40,11999,2.5559022,948.0
242,1638206363,2021.11.29-09.40,12049,2.7205203,948.0
243,1638206481,2021.11.29-09.40,12099,2.3869135,949.0
244,1638206583,2021.11.29-09.40,12149,2.8883305,949.0
245,1638206709,2021.11.29-09.40,12199,2.8212032,950.0
246,1638206828,2021.11.29-09.40,12249,2.6892235,951.0
247,1638206929,2021.11.29-09.40,12299,2.8702185,951.0
248,1638207042,2021.11.29-09.40,12349,2.7455034,952.0
249,1638207170,2021.11.29-09.40,12399,2.573616,953.0
250,1638207274,2021.11.29-09.40,12449,2.5581942,953.0
251,1638207389,2021.11.29-09.40,12499,2.757591,954.0
252,1638207496,2021.11.29-09.40,12549,2.8532562,954.0
253,1638207615,2021.11.29-09.40,12599,2.9042132,955.0
254,1638207740,2021.11.29-09.40,12649,2.8388407,956.0
255,1638207843,2021.11.29-09.40,12699,2.8959985,956.0
256,1638207957,2021.11.29-09.40,12749,2.957134,957.0
257,1638208086,2021.11.29-09.40,12799,2.712049,958.0
258,1638208186,2021.11.29-09.40,12849,2.767477,958.0
259,1638208306,2021.11.29-09.40,12899,2.4500332,959.0
260,1638208413,2021.11.29-09.40,12949,2.8858526,959.0
261,1638208528,2021.11.29-09.40,12999,2.7048514,960.0
262,1638208658,2021.11.29-09.40,13049,2.7571127,961.0
263,1638208760,2021.11.29-09.40,13099,2.7356176,961.0
264,1638208878,2021.11.29-09.40,13149,2.707847,962.0
265,1638208983,2021.11.29-09.40,13199,2.6330988,962.0
266,1638209098,2021.11.29-09.40,13249,2.9173656,963.0
267,1638209223,2021.11.29-09.40,13299,2.7633631,964.0
268,1638209331,2021.11.29-09.40,13349,2.7677422,964.0
269,1638209445,2021.11.29-09.40,13399,2.6865523,965.0
270,1638209574,2021.11.29-09.40,13449,2.766471,966.0
271,1638209676,2021.11.29-09.40,13499,2.6768353,966.0
272,1638209791,2021.11.29-09.40,13549,2.579952,967.0
273,1638209899,2021.11.29-09.40,13599,2.5592818,967.0
274,1638210016,2021.11.29-09.40,13649,2.8822024,968.0
275,1638210142,2021.11.29-09.40,13699,2.7299542,969.0
276,1638210244,2021.11.29-09.40,13749,2.7545319,969.0
277,1638210358,2021.11.29-09.40,13799,2.6662724,970.0
278,1638210465,2021.11.29-09.40,13849,2.561881,970.0
279,1638210582,2021.11.29-09.40,13899,2.4702618,971.0
280,1638210709,2021.11.29-09.40,13949,2.5866106,972.0
281,1638210813,2021.11.29-09.40,13999,2.6739671,972.0
282,1638210929,2021.11.29-09.40,14049,2.814671,973.0
283,1638211056,2021.11.29-09.40,14099,2.4877632,974.0
284,1638211158,2021.11.29-09.40,14149,2.9265187,974.0
285,1638211277,2021.11.29-09.40,14199,2.835923,975.0
286,1638211384,2021.11.29-09.40,14249,2.9008036,975.0
287,1638211501,2021.11.29-09.40,14299,2.7117984,976.0
288,1638211627,2021.11.29-09.40,14349,2.6689198,977.0
289,1638211730,2021.11.29-09.40,14399,2.5493834,977.0
290,1638211846,2021.11.29-09.40,14449,2.8382514,978.0
291,1638211973,2021.11.29-09.40,14499,2.6886096,979.0
292,1638212077,2021.11.29-09.40,14549,2.5040307,979.0
293,1638212196,2021.11.29-09.40,14599,2.769113,980.0
294,1638212304,2021.11.29-09.40,14649,2.9366665,980.0
295,1638212419,2021.11.29-09.40,14699,2.6935961,981.0
296,1638212545,2021.11.29-09.40,14749,2.8522754,982.0
297,1638212645,2021.11.29-09.40,14799,2.6494079,982.0
298,1638212766,2021.11.29-09.40,14849,2.778043,983.0
299,1638212871,2021.11.29-09.40,14899,2.7189956,983.0
300,1638212987,2021.11.29-09.40,14949,2.498968,984.0
301,1638213114,2021.11.29-09.40,14999,2.4806085,985.0
302,1638213217,2021.11.29-09.40,15049,2.9019318,985.0
303,1638213335,2021.11.29-09.40,15099,2.4707558,986.0
304,1638213462,2021.11.29-09.40,15149,2.7935884,987.0
305,1638213564,2021.11.29-09.40,15199,2.750305,987.0
306,1638213681,2021.11.29-09.40,15249,2.6769285,988.0
307,1638213786,2021.11.29-09.40,15299,2.7598817,988.0
308,1638213901,2021.11.29-09.40,15349,2.6246057,989.0
309,1638214030,2021.11.29-09.40,15399,3.085674,990.0
310,1638214131,2021.11.29-09.40,15449,2.7125072,990.0
311,1638214251,2021.11.29-09.40,15499,2.7474291,991.0
312,1638214353,2021.11.29-09.40,15549,2.8511128,991.0
313,1638214470,2021.11.29-09.40,15599,2.7791533,992.0
314,1638214596,2021.11.29-09.40,15649,2.7339063,993.0
315,1638214703,2021.11.29-09.40,15699,2.628773,993.0
316,1638214818,2021.11.29-09.40,15749,2.757453,994.0
317,1638214946,2021.11.29-09.40,15799,2.5028431,995.0
318,1638215051,2021.11.29-09.40,15849,2.751018,995.0
319,1638215165,2021.11.29-09.40,15899,2.6537235,996.0
320,1638215273,2021.11.29-09.40,15949,2.562221,996.0
321,1638215392,2021.11.29-09.40,15999,2.6481013,997.0
322,1638215516,2021.11.29-09.40,16049,2.5925457,998.0
323,1638215621,2021.11.29-09.40,16099,2.6870856,998.0
324,1638215736,2021.11.29-09.40,16149,2.6902213,999.0
325,1638215841,2021.11.29-09.40,16199,2.7795324,999.0
